COMPONENT NAME;TYPE;SUBSYSTEM;CONTROLLED/READ BY;NECESSITY STATUS;FUNCTION;JUSTIFICATION;REQUIREMENTS;Part name;Link to Datasheet;COMMENTS;ACTION NEEDED;LAST CHANGED BY;Column1;;;;;;;;;;;;;;;;;Possible status values;;;Possible Subsytem Values;;Possible Types
Vacuum pump 1;Electrical Component;Pressurization system;Pressure MCU;DECIDED;Pressurise ambient air to 0.5 bar;Necessary to pressurise measurement chamber to 3 bar;"Volumetric flow rate at intake pressure p=0.04 bar: at least 0.4 l/min; Able to run continously; ";G4-4 Series Diaphragm Pump;https://www.alibaba.com/product-detail/PENGPU-G4BL-4-Micro-Mini-Brushless_1600365069688.html?spm=a2700.details.you_may_like.1.403f4815CotgK0;Not entirely sure about the link. Datasheet can also be found on the Drive under Mechanical;NO;;;;;;;;;;;;;;;;;;;DECIDED;;;Pressurization system;;Mechanical Component
Vacuum pump 2;Electrical Component;Pressurization system;Pressure MCU;DECIDED;Pressurise 0.5 bar air to 1 bar;Necessary to pressurise measurement chamber to 3 bar;"Volumetric flow rate at intake pressure p=0.04 bar: at least 0.4 l/min; Able to run continously; ";G4-4 Series Diaphragm Pump;https://www.alibaba.com/product-detail/PENGPU-G4BL-4-Micro-Mini-Brushless_1600365069688.html?spm=a2700.details.you_may_like.1.403f4815CotgK0;Not entirely sure about the link. Datasheet can also be found on the Drive under Mechanical;NO;;;;;;;;;;;;;;;;;;;UNDECIDED;;;Thermal system;;Sensor
Compressor;Electrical Component;Pressurization system;Pressure MCU;DECIDED;Pressurise air of vacuum pump output from 1 bar to 3 bar;Necessary to pressurise measurement chamber to 3 bar;"Mass flow rate at intake pressure p=1 bar: between 7.52 g/min and down to 0.04 g/min; Able to run continously";W6 Series piston pump;https://www.alibaba.com/product-detail/PENGPU-12V-24V-Brushless-Micro-Piston_1601293078853.html;;NO;;;;;;;;;;;;;;;;;;;;;;K96;;Electrical Component
Pipe 1;Mechanical component;Pressurization system;-;DECIDED;Deliver ambient air to Vacuum pump 1;Necessary for vacuum pump 1 to work;Sturdy, non-outgassing, thermally conductive;-;-;Might be a spiral/solenoid to increase potential for thermalisation. Subject to modelling and tests;YES;;;;;;;;;;;;;;;;;;;;;;Ambient sensors;;
Pipe 2;Mechanical component;Pressurization system;-;DECIDED;Deliver air of Vacuum pump 1 to Vacuum pump 2;Necessary for vacuum pump 2 to work;Sturdy, non-outgassing, thermally conductive;-;-;Might be a spiral/solenoid to increase potential for thermalisation. Subject to modelling and tests;YES;;;;;;;;;;;;;;;;;;;;;;Main MCU;;
Pipe 3;Mechanical component;Pressurization system;-;DECIDED;Deliver air of vacuum pump output to compressor;Necessary for compressorto work;Sturdy, non-outgassing, thermally conductive;-;-;;YES;;;;;;;;;;;;;;;;;;;;;;;;
Pipe 4;Mechanical component;Pressurization system;-;DECIDED;Deliver compressed air to pressure chamber;Necessary for pressure chamber to be pressurized;Sturdy, non-outgassing, thermally conductive;-;-;;YES;;;;;;;;;;;;;;;;;;;;;;;;
Pipe 5;Mechanical component;Pressurization system;-;DECIDED;Deliver air from pressure chamber to outside environment;Necessary for constant air flow through pressure chamber;Sturdy, non-outgassing, thermally conductive;-;-;Might be a bell nozzle so that the air expands a bit more slowly and the air flow is more controlled. Subject to modelling and testing;YES;;;;;;;;;;;;;;;;;;;;;;;;
TP1;Sensor;Pressurization system;Main MCU;DECIDED;Measure pump temperature;Prevent overheating of Vacuum pump 1;max uncertainty: 1.5 K, range: -10 to 70 °C, min sampling rate: 1 Hz;TMP1075DGKR;https://www.digikey.com/en/products/detail/texas-instruments/TMP1075DGKR/9692553;The temperature sensors of all pumps can be the same;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TP2;Sensor;Pressurization system;Main MCU;UNDECIDED;Measure pump temperature;Prevent overheating of Vacuum pump 2;max uncertainty: 1.5 K, range: -10 to 70 °C, min sampling rate: 1 Hz;TMP1075DGKR;https://www.digikey.com/en/products/detail/texas-instruments/TMP1075DGKR/9692553;Maybe we could get away with monitoring the temperature of only one vacuum pump, since they are identical;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TP3;Sensor;Pressurization system;Main MCU;DECIDED;Measure compressor temperature;Prevent overheating of compressor;max uncertainty: 1.5 K, range: -10 -to 70 °C, min sampling rate: 1 Hz;TMP1075DGKR;https://www.digikey.com/en/products/detail/texas-instruments/TMP1075DGKR/9692553;The temperature sensors of all pumps can be the same;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
TP4;Sensor;Pressurization system;Main MCU;UNDECIDED;Measure vacuum pump discharge air temperature;Make sure air is cool enough for compressor;max uncertainty: 10 K, range: -10 to 50 °C, min sampling rate: 1 Hz;ABP2;https://www.farnell.com/datasheets/3217178.pdf;might be same as PP1;NO;;;;;;;;;;;;;;;;;;;;;;;;
TP5;Sensor;Pressurization system;Main MCU;UNDECIDED;Measure compressor discharge air temperature;Make sure air is cool enough for K96;max uncertainty: 10 K, range: -10  to 50 °C, min sampling rate: 1 Hz;SHT45;-;The MS5803 can measure temperature as well With proper testing we might conclude that choosing the right pipe material and length is enough to ensure that the air thermalizes;YES;;;;;;;;;;;;;;;;;;;;;;;;
PP1;Sensor;Pressurization system;Main MCU;DECIDED;Measure pressure inside Pipe 3;Make sure vacuum pumps and compressor run on same mass flow setting;max uncertainty: 0.02 bar, range: 0.8-1.2 bar, min sampling rate: 10 Hz.;ABP2;https://www.farnell.com/datasheets/3217178.pdf;Measures both temperature and pressure. ;NO;4/15 ( changed to one with 0-30psi range from 0-150 for better accuracy )By thermal;;;;;;;;;;;;;;;;;;;;;;;
PP2;Sensor;Pressurization system;Main MCU;DECIDED;Measure pressure inside pressure chamber;Make sure pressurization system provides 3 bar. Used for Science data;max uncertainty: 0.02 bar, range: 0.3-4 bar, min sampling rate: 10 Hz;MS5803;https://www.farnell.com/datasheets/2917213.pdf;;NO;changed by thermal;;;;;;;;;;;;;;;;;;;;;;;
K96;Electrical Component;K96;Main MCU;DECIDED;Measuring atmospheric gas concentrations;Main component of the experiment;"when active: environmental pressure shall be between 2.5 and 3.2 bar and should be between 2.8 and 3 bar; temperature shall be between 15 and 40°C and should be between 19 and 24°C";K96;See drive under Electrical > K96;;NO;;;;;;;;;;;;;;;;;;;;;;;;
TK1;Sensor;K96;Main MCU;DECIDED;Measure temperature inside pressure chamber;Used for thermal control of pressure chamber and for Science data. Included in K96;max uncertainty: 1.5K, range: -40 to 85 °C, min sampling rate: 10 Hz;BME280;See drive under Electrical > Sensors;;NO;;;;;;;;;;;;;;;;;;;;;;;;
